z xi(0) xi(1) xi(2) xi(3) xi(4) xi(5) xi(6) xi(7) xi(8) xi(9) xi(10)
2.1265 0.0840532 0.029827 0.00878244 0.00451424 0.00254855 0.00164627 0.000803342 0.000205321 0.000564439 0.000927949 0.00166577
2.1302 0.0835785 0.0296434 0.00896777 0.00457187 0.00290925 0.00184411 0.00133331 0.00121754 0.00161906 0.00115668 0.00192307
2.1339 0.0836991 0.0293486 0.00902856 0.00440474 0.00248739 0.00164843 0.0010511 0.000859918 0.00119018 0.0015845 0.00251452
2.1376 0.0838378 0.0295229 0.00915518 0.00472175 0.00301425 0.00189879 0.00111582 0.000488452 0.00117867 0.00115669 0.00226319
2.1413 0.0820264 0.0291748 0.00902056 0.0045735 0.00240163 0.00180874 0.00138882 0.0013923 0.00161855 0.00193167 0.00260312
2.145 0.0822599 0.0300026 0.00940862 0.00474395 0.00318257 0.00181747 0.0010189 0.00104339 0.00080494 0.00114836 0.00277731
2.1487 0.084236 0.0301009 0.00974666 0.00476576 0.00273039 0.0015639 0.00151158 0.00153847 0.00127536 0.00131505 0.00180051
2.1524 0.083969 0.0296886 0.00949683 0.00553488 0.00306622 0.0021896 0.0013463 0.00152868 0.00162818 0.00151862 0.00233694
2.1561 0.0826991 0.0298484 0.00826509 0.00445191 0.00272993 0.00180909 0.00174034 0.00141905 0.0012202 0.00135125 0.00222799
2.1598 0.082533 0.0294889 0.00879521 0.00464805 0.00276851 0.00151081 0.00109052 0.00098013 0.000820871 0.0012031 0.00223632
2.1635 0.0835272 0.0309071 0.00950227 0.00495467 0.00308493 0.00119373 0.00103877 0.00113473 0.00153368 0.00158672 0.00221746
2.1672 0.0827753 0.0303087 0.00915407 0.00459392 0.00258699 0.00159267 0.00109626 0.00119839 0.00117981 0.000960088 0.00198368
2.1709 0.0821641 0.0304685 0.00930007 0.00467593 0.00274194 0.00157561 0.0012 0.000713581 0.000783164 0.00105529 0.00175266
